title,category,publish_date,article_url
Kejagung Ungkap Peran Yusrizki di Kasus Korupsi BTS: Sediakan Panel Surya,detikNews, 15 Jun 2023 17:53 WIB,https://news.detik.com/berita/d-6774782/kejagung-ungkap-peran-yusrizki-di-kasus-korupsi-bts-sediakan-panel-surya
PDIP: Ketum PPP Sudah Usulkan Sandiaga Uno Jadi Cawapres Ganjar,detikNews, 15 Jun 2023 17:51 WIB,https://news.detik.com/pemilu/d-6774778/pdip-ketum-ppp-sudah-usulkan-sandiaga-uno-jadi-cawapres-ganjar
"Cak Imin soal Partai ke KKIR: Masih Proses, Paslon Keputusan Saya-Prabowo",detikNews, 15 Jun 2023 17:48 WIB,https://news.detik.com/pemilu/d-6774771/cak-imin-soal-partai-ke-kkir-masih-proses-paslon-keputusan-saya-prabowo
Heboh Ibu di Pati Ditemukan Meninggal di Rumah Sambil Peluk Bayinya,detikNews, 15 Jun 2023 17:47 WIB,https://news.detik.com/berita/d-6774762/heboh-ibu-di-pati-ditemukan-meninggal-di-rumah-sambil-peluk-bayinya
Link Download Logo HUT ke-496 DKI Jakarta: Visual dan Maknanya,detikNews, 15 Jun 2023 17:42 WIB,https://news.detik.com/berita/d-6774758/link-download-logo-hut-ke-496-dki-jakarta-visual-dan-maknanya
HNW Minta Ormas Islam buat Ajak Umat Tidak Golput Saat Pemilu 2024,detikNews, 15 Jun 2023 17:42 WIB,https://news.detik.com/berita/d-6774757/hnw-minta-ormas-islam-buat-ajak-umat-tidak-golput-saat-pemilu-2024
"Tata Cara Kurban Online di Baznas, Cek Langkah-langkahnya!",detikNews, 15 Jun 2023 17:42 WIB,https://news.detik.com/berita/d-6774756/tata-cara-kurban-online-di-baznas-cek-langkah-langkahnya
Kejagung Tetapkan 3 Korporasi Jadi Tersangka Kasus Korupsi Minyak Goreng,detikNews, 15 Jun 2023 17:41 WIB,https://news.detik.com/berita/d-6774754/kejagung-tetapkan-3-korporasi-jadi-tersangka-kasus-korupsi-minyak-goreng
"Serba-serbi Libur Lebaran Idul Adha 2023, Cek Selengkapnya",detikNews, 15 Jun 2023 17:40 WIB,https://news.detik.com/berita/d-6774753/serba-serbi-libur-lebaran-idul-adha-2023-cek-selengkapnya
Tim berbuatbaik.id Berbagi Sembako hingga Kambing untuk Yayasan ODGJ di Cianjur,detikNews, 15 Jun 2023 17:40 WIB,https://news.detik.com/berita/d-6774751/tim-berbuatbaikid-berbagi-sembako-hingga-kambing-untuk-yayasan-odgj-di-cianjur
Amanda Tak Bisa Bersaksi di Sidang Mario Dandy Pekan Depan gegara Sakit,detikNews, 15 Jun 2023 17:39 WIB,https://news.detik.com/berita/d-6774747/amanda-tak-bisa-bersaksi-di-sidang-mario-dandy-pekan-depan-gegara-sakit
Keluarga Bantah Moses Korban Tabrak Lari di Cakung Kenal Pelaku,detikNews, 15 Jun 2023 17:37 WIB,https://news.detik.com/berita/d-6774744/keluarga-bantah-moses-korban-tabrak-lari-di-cakung-kenal-pelaku
Pria Palestina Tewas Ditembak Tentara Israel di Kepala,detikNews, 15 Jun 2023 17:35 WIB,https://news.detik.com/internasional/d-6774741/pria-palestina-tewas-ditembak-tentara-israel-di-kepala
"Andre Rosiade Posting Foto Bareng Erick Thohir-Zulhas, Sinyal Koalisi?",detikNews, 15 Jun 2023 17:35 WIB,https://news.detik.com/pemilu/d-6774739/andre-rosiade-posting-foto-bareng-erick-thohir-zulhas-sinyal-koalisi
Gerindra Sebut Putusan MK soal Pemilu Coblos Caleg Sesuai Harapan,detikNews, 15 Jun 2023 17:34 WIB,https://news.detik.com/detiktv/d-6774736/gerindra-sebut-putusan-mk-soal-pemilu-coblos-caleg-sesuai-harapan
"Putusan MK Beda dari Rumor yang Disebarnya, Ini Kata Denny Indrayana",detikNews, 15 Jun 2023 17:31 WIB,https://news.detik.com/berita/d-6774729/putusan-mk-beda-dari-rumor-yang-disebarnya-ini-kata-denny-indrayana
Kejagung Tetapkan Yusrizki Dirut PT Basis Utama Prima Tersangka Kasus BTS,detikNews, 15 Jun 2023 17:26 WIB,https://news.detik.com/berita/d-6774721/kejagung-tetapkan-yusrizki-dirut-pt-basis-utama-prima-tersangka-kasus-bts
"Dilepas Polisi, Jukir Minta Rp 10 Ribu ke Pemotor di Senayan Dibina",detikNews, 15 Jun 2023 17:26 WIB,https://news.detik.com/berita/d-6774720/dilepas-polisi-jukir-minta-rp-10-ribu-ke-pemotor-di-senayan-dibina
"SPG Showroom Mobil di Cibubur Dirampok lalu Diperkosa, 2 Pelaku Ditangkap",detikNews, 15 Jun 2023 17:25 WIB,https://news.detik.com/berita/d-6774719/spg-showroom-mobil-di-cibubur-dirampok-lalu-diperkosa-2-pelaku-ditangkap
"Pemilu Tetap Coblos Caleg, KPU: Sejak Awal Kami Berprinsip Kepastian Hukum",detikNews, 15 Jun 2023 17:16 WIB,https://news.detik.com/pemilu/d-6774692/pemilu-tetap-coblos-caleg-kpu-sejak-awal-kami-berprinsip-kepastian-hukum
Pasukan Ukraina Tembak Jatuh 21 Rudal-Drone Peledak Rusia,detikNews, 15 Jun 2023 17:11 WIB,https://news.detik.com/internasional/d-6774684/pasukan-ukraina-tembak-jatuh-21-rudal-drone-peledak-rusia
25 Remaja Bawa Batu Diamankan di Dekat Lokasi Demo Ponpes Al-Zaytun,detikNews, 15 Jun 2023 17:10 WIB,https://news.detik.com/berita/d-6774683/25-remaja-bawa-batu-diamankan-di-dekat-lokasi-demo-ponpes-al-zaytun
"Mario Dandy Bantah Bentak Satpam: Saya Tak Marah, Cuma Bingung",detikNews, 15 Jun 2023 17:09 WIB,https://news.detik.com/detiktv/d-6774669/mario-dandy-bantah-bentak-satpam-saya-tak-marah-cuma-bingung
"MK Tolak Sistem Pemilu Proporsional Tertutup, Arteria: Kami Hormati",detikNews, 15 Jun 2023 17:07 WIB,https://news.detik.com/detiktv/d-6774655/mk-tolak-sistem-pemilu-proporsional-tertutup-arteria-kami-hormati
"Ibu Kecewa Pengusutan Kasus Bocah SD Dicabuli Lamban, Ini Kata Polisi",detikNews, 15 Jun 2023 17:05 WIB,https://news.detik.com/berita/d-6774653/ibu-kecewa-pengusutan-kasus-bocah-sd-dicabuli-lamban-ini-kata-polisi
"Hadiri Sidang, Anggota DPR Apresiasi Putusan MK Pemilu Tetap Coblos Caleg",detikNews, 15 Jun 2023 17:05 WIB,https://news.detik.com/pemilu/d-6774651/hadiri-sidang-anggota-dpr-apresiasi-putusan-mk-pemilu-tetap-coblos-caleg
